w	x	y	z
0.9318638102041692	-0.06319114363692775	0.1014534031283144	-0.34255499644773685
0.9771200715681078	0.03309937544846095	0.11825513201043321	-0.1736563296769017
0.9659099828528868	0.12236772776790208	0.07487878597220235	-0.21549295031946103
0.9280471896555444	-0.06745647425421267	0.08290139413888417	-0.35679881824841564
0.9417091423681648	-0.07554398353587909	-0.11813632686598054	-0.30581171659431305
0.9342550578833083	0.034352447443262456	0.12115249244176075	-0.33363073861570847
0.9317278885525372	-0.0695359455022947	0.09672733693753893	-0.3430622629574762
0.9246453194502248	-0.04225671289921491	0.08196961548330836	-0.3694947706954235
0.928562265423837	0.030146505409180485	0.10452729971859355	-0.3548765293114003
0.9707929966746613	0.13100599296407817	0.03851250194628544	-0.19726929464253684
0.9758230515597202	0.11918858714839103	-0.04125916410236753	-0.17849687424663746
0.9321478833059463	-0.09123583109321597	-0.07847059237284812	-0.3414948211988409
0.9453504050877416	0.01649809644976389	0.14368900073611407	-0.2922223391211459
0.9700857520813312	-0.09032935149249856	0.1039746439525789	-0.19990876739822377
0.93366538724506	-0.059220545239769634	-0.10944920935107644	-0.33583141939738254
0.9289886995478206	-0.011641268101975244	0.10970025776449022	-0.3532850554946124
0.9208428700058743	0.033635973532323796	0.06084660760948403	-0.3836857052149516
0.9662454942211373	-0.096070206216991	0.10602376107949485	-0.21424080484663302
0.936640249351525	-0.13135761898915055	0.0011144354039576906	-0.32472908287054375
0.9293790702397711	0.09695059653358083	-0.05542619282776655	-0.3518281722384672
0.9287700116149751	-0.10784988413217321	-0.019157273148174257	-0.354101209970994
0.9717284537211964	-0.12213479035235751	-0.057244605636368025	-0.19377812141656964
0.9620951993024034	-0.1445139274573257	-0.026696774787744897	-0.22972991634974288
0.9808641638531737	-0.10650095817823316	-0.03262388315670983	-0.15968318704080908
0.9576510442133258	-0.08098527156346766	-0.12519754384259393	-0.24631572893889594
0.9690846851319203	0.13295721453212397	-0.04154572821199078	-0.20364480011520336
0.9272584911544751	-0.027602357452293703	0.10007642886852514	-0.35974228112625967
0.9354559367579885	-0.07942510577741965	-0.10136459099688878	-0.3291489976416656
