w	x	y	z
0.22308247676792045	-0.14869087343559362	-0.6897182185558602	-0.6726172847230296
0.23724782318638218	-0.12879981757638229	-0.7144924113806405	-0.6454646942049515
0.2331527016562274	-0.08727298828930606	-0.7290278771315483	-0.6376061461360963
0.14622593655985783	0.032405177563103786	-0.724752681989147	-0.6725335901602496
0.08701878253510659	0.0769425142290747	-0.683791775837375	-0.7203723955617577
0.12103015159392765	-0.15694158352606424	-0.7305565075476967	-0.6534586681995996
0.029245597669892702	-0.10900172458174003	-0.619542154726369	-0.7768081085906255
0.26053106682654253	-0.03825387801174639	-0.6227149398657835	-0.7368081892210752
0.13211548348289853	-0.15402178225680296	-0.7763998409753088	-0.5966792074038053
0.06241363531375016	-0.1216699948847286	-0.6824137888529183	-0.7180615372341544
0.17293265971952299	-0.045942890311662626	-0.6427669220681206	-0.7448719553904662
0.21912751111507847	0.000855539438620505	-0.78949805365951	-0.5733020366199876
0.16560503602828908	-0.2246986142847372	-0.7392098412618242	-0.6129064491113277
0.2343203747319795	-0.049389201874272114	-0.6633992427311172	-0.708911922221278
0.11065078934345014	0.10772260091290296	-0.6121346319494058	-0.7755278437544306
0.17234680514502274	0.013305498205649278	-0.6902467653507575	-0.7026229041218478
0.07191616640545058	-0.17633786623476355	-0.6020313916679915	-0.7754297037047366
0.1434677754081665	-0.06218315457387461	-0.6494502523524474	-0.7441536282421903
0.15557165411247045	-0.04650913917793976	-0.7757758253680185	-0.6097591567038634
0.06899872865611854	0.012560409671025731	-0.7706857602232927	-0.6333441959486016
0.119953589799445	-0.11889102870577947	-0.753000465013342	-0.6359766971180617
0.042526473492036684	0.05955815088408794	0.5981457374061059	0.7980388477627546
0.12852558507673603	-0.2327039002168806	-0.619616797642375	-0.7385154655685573
0.3032483323048046	-0.07788000189363206	-0.6915959213847341	-0.6508995589055222
0.0712619846239164	-0.07655349085525105	-0.7769147400542423	-0.6208580991432622
0.2071097010833037	-0.07205560503314239	-0.6234914108653493	-0.7504478809868333
0.1491578091991615	-0.13125453126146588	-0.686221888017058	-0.6997311743695173
0.08374664636711505	-0.07911121761105672	-0.6452971185884595	-0.7551950365381044
0.23282713248886108	-0.062251161042224314	-0.7900245092820108	-0.5637176545573391
0.10136111844615135	0.004817066992136364	-0.7510653415673872	-0.6523829950490757
0.19400224757164783	-0.16468814002850904	-0.6536309082086527	-0.7127465049408738
0.02259252153903287	0.02647849611166395	-0.7185075999684365	-0.6946476056258816
0.108116114652414	-0.0573743469014952	-0.7912973269951653	-0.5990556154151294
0.15074565761442282	-0.0879913641440415	-0.6893324477665999	-0.7031031524624064
0.2573924989307519	-0.09383699333727759	-0.7164763653276829	-0.6415647575283694
0.12004716234578122	-0.21321231108983502	-0.7364753016014117	-0.6306610177770358
0.13178782398821862	-0.020212316089836747	-0.6982485964689832	-0.7033294599658326
0.23203428491178577	0.023308283458632794	-0.6503976903898923	-0.7229105469442136
0.08231985508675936	-0.007900087196643939	-0.7399607262685958	-0.6675471171841225
0.2029187658466791	0.029119874194865693	-0.6637249280284255	-0.7193366578367859
0.12718660839380022	-0.09792583380044026	-0.6787889883211208	-0.7165749137764732
